id,track_name,artist_name,genre,duration_ms,year,popularity,explicit
02TspWzcxpgDAfy97EJSn8,I Will Deny,Dwarves,Ska,99867,1997,37,1
02tvc9CFnTyHuSRlGeNv9w,Corduroy Dreams,Rex Orange County,Indie,206975,2016,75,1
02Ub2Xv4Vs3UEthDciGPvq,Forty Four,Howlin' Wolf,Blues,170000,1958,27,0
02UFwtmJ0ogLQWMx43Okuh,Gimme Back My Bullets,Lynyrd Skynyrd,Country,209800,1976,53,0
02UnamzTn2rySwzcMkq5qx,I Melt,Rascal Flatts,Country,234253,2002,48,0
02uRToy7bttYcKCO3vIStA,Hit That Jive,Gramatik,Electronic,203051,2009,54,0
02UYYPOGSBXxGEMce927XV,Nobody (feat. Athena Cage) - Remastered Single Version,Keith Sweat,Dance,251760,2004,44,0
02VxlOxetoqdcq2G7zHImz,Gun Song,The Lumineers,Folk,216547,2016,50,0
02WDuAXXKumemrvsmrVBvH,Wavin' Flag - Coca-Cola® Celebration Mix,K'NAAN,Rap,212867,2009,50,0
02WVK9TPtjSOcmy9cDkd5D,Go to Hell,Alice Cooper,Blues,315707,1976,39,0
02wVmJecRUCtkppST87OLx,Ain't Gon' Beg You,Fantasia,R&B,254240,2004,40,0
02Wxt6S5N3socdwU5nMvuH,La Locura Automática - Reggaeton,La Secta AllStar,Reggae,245347,2006,46,0
02XvknCqa2kPcOLdqD9h69,Daydreaming - 2012 Mix/Master,Massive Attack,Electronic,254520,1991,45,0
02Z7LG6DNTuVTJiGdvTwDu,Azalea,Louis Armstrong,Jazz,303173,1963,45,0
02ZorlDGq0uTnMobHNh4EL,Bravado,Lorde,Dance,221409,2013,59,0
0301nLjG0ti26rx5ZmfqtP,Scenario - LP Mix,A Tribe Called Quest,Alternative,250133,1991,60,0
0304Y3lXclcRh5N50KJ3sE,This Is Letting Go,Rise Against,Alternative,221200,2011,51,0
030OCtLMrljNhp8OWHBWW3,Hey Daddy (Daddy's Home),Usher,Dance,224093,2010,60,0
031uTUhyy6xmDJqmeWJBi9,God Hates Us,Avenged Sevenfold,Alternative,319187,2010,54,1
032kwZ9kg4yIaIPBOOIwlm,I'll Be Your Baby Tonight,Bob Dylan,Folk,159360,1967,46,0
0336UwEBwBBao8uWCuugYr,Anything,SZA,R&B,149320,2017,58,1
035QPHPAcqApSGMMcogT45,A Change Of Heart,The 1975,Alternative,283840,2016,56,1
036dNRa0mD4rC2TJJwQYaC,You Don't Care (a.k.a. You'll Want Me Back),The Techniques,Reggae,159347,1989,27,0
03794FHTruV54i92ZvNESw,Pluto,Björk,Electronic,199240,1997,32,0
037DAJ2ClglNQbEvXpGav4,Why Can't I Touch It? - 2001 Remastered Version,Buzzcocks,Alternative,396333,1979,54,0
038jgLNIvp7QQNf5vILf5d,Kiss This,Aaron Tippin,Rock,173760,2000,55,0
0398HQYTM3nrwsnA2ovFrp,Walking In The Sunshine,Bad Manners,Ska,210667,1980,37,0
03b1NUHnoavfpLLKcEMfIb,Go Getta,Jeezy,Hip-Hop,229347,2006,50,1
03By6gD02qhtvIQiK8KidK,Back Door Man,The Doors,Rock,212427,1967,54,0
03C0lOgIOKlsJpaF5KtWDE,Santa Monica,Theory of a Deadman,Alternative,246547,2005,53,0
03CMUlyOZzrNXJnb8Vzm4l,Blue Ridge Mountains,Fleet Foxes,Folk,265773,2008,59,0
03d8S7FBY2kIzhP0E7l4rn,If I Know Me,Morgan Wallen,Country,157693,2018,73,0
03DQO1cC5RzTWRxJLzJCgy,I Love You for All Seasons,The Fuzz,Soul,184635,2012,48,0
03ekKKm4AHradccE84Sfny,Movin' On,Collie Buddz,Reggae,217307,2007,39,0
03EswEfc8sYqEVAyjOfFFn,When There Is No Sun,Sun Ra,Jazz,275155,1978,41,0
03f2e7WrN33uwicte4iZb7,Never Smile at a Crocodile,Frank Churchill,Movie,104427,1997,35,0
03f7xZmt2wHCIDJBFPK8G4,Soap,Melanie Martinez,Dance,209427,2015,71,0
03fqO4EyMiNTf0sA6NM4gw,When It Rains,Eli Young Band,Country,254667,2008,44,0
03fT3OHB9KyMtGMt2zwqCT,Play It Again,Luke Bryan,Country,226867,2013,76,0
03GJyQfnhwq8f4NK5sOxO5,Medley: Summer Love / Set the Mood (Prelude),Justin Timberlake,Dance,384133,2006,50,0
03gk2zRwm8uUZDbyZJtPgh,The Nearness Of You,Norah Jones,Folk,187667,2002,56,0
03gKdAQAswBo7v4p8F1An4,Pacific Theme,Broken Social Scene,Folk,309187,2003,46,0
03gNt9LmzZOZcnjKFKrFMl,We Move Like The Ocean,Bad Suns,Indie,189172,2014,49,0
03gsb1WnVQUuLqChBvzmoo,AM Radio,Everclear,Alternative,236933,2000,44,0
03h0HCkZ4LLwDJtnBuRBOk,Best I Can,Art Of Dying,Alternative,303067,2011,49,0
03hqMhmCZiNKMSPmVabPLP,Groupie Love (feat. A$AP Rocky),Lana Del Rey,Dance,264038,2017,63,1
03i4HQaxKuef4sNUTB3txK,Chanson pour l'auvergnat,Georges Brassens,Reggae,182200,1989,29,0
03ig8Asct95IIRVbEKvqmm,Funland at the Beach,Dead Kennedys,Ska,109973,1980,29,0
